Date, Open, High, Low, Close
05/27/21, 1759.48, 1818.17, 1759.48, 1808.26
05/26/21, 1735.37, 1764.01, 1730.75, 1759.48
05/25/21, 1777.40, 1783.77, 1733.31, 1735.37
05/24/21, 1765.29, 1782.09, 1749.43, 1777.40
05/21/21, 1785.83, 1802.76, 1755.42, 1765.29
05/20/21, 1792.67, 1792.67, 1764.80, 1785.83
05/19/21, 1853.25, 1853.25, 1764.07, 1792.67
05/18/21, 1862.96, 1882.96, 1850.57, 1853.25
05/17/21, 1825.25, 1865.34, 1818.40, 1862.97
05/14/21, 1833.25, 1835.13, 1804.26, 1825.25
05/13/21, 1835.93, 1868.27, 1806.95, 1833.25
05/12/21, 1927.01, 1927.01, 1830.68, 1835.93
05/11/21, 1895.48, 1931.49, 1856.87, 1927.01
05/10/21, 1893.74, 1955.92, 1893.09, 1895.48
05/07/21, 1854.66, 1894.73, 1845.48, 1893.74
05/06/21, 1803.53, 1855.12, 1803.53, 1854.66
05/05/21, 1772.92, 1822.79, 1772.92, 1803.53
05/04/21, 1737.32, 1776.74, 1730.97, 1772.92
05/03/21, 1701.78, 1747.46, 1701.78, 1737.32
04/30/21, 1744.86, 1744.86, 1700.23, 1701.78
04/29/21, 1753.49, 1762.68, 1721.15, 1744.86
04/28/21, 1734.21, 1761.59, 1731.59, 1753.49
04/27/21, 1738.36, 1744.84, 1724.06, 1734.21
04/26/21, 1687.60, 1739.44, 1687.60, 1738.36
04/23/21, 1647.17, 1691.27, 1647.17, 1687.60
04/22/21, 1658.98, 1666.05, 1630.28, 1647.17
04/21/21, 1628.09, 1660.07, 1604.31, 1658.98
04/20/21, 1665.74, 1665.74, 1617.24, 1628.09
04/19/21, 1667.62, 1684.35, 1656.12, 1665.74
04/16/21, 1648.48, 1669.22, 1641.55, 1667.62
04/15/21, 1639.60, 1664.03, 1639.60, 1648.48
04/14/21, 1590.48, 1655.29, 1590.48, 1639.60
04/13/21, 1591.39, 1599.81, 1572.70, 1590.48
04/12/21, 1603.14, 1607.28, 1583.84, 1591.39
04/09/21, 1619.60, 1619.60, 1596.35, 1603.14
04/08/21, 1621.07, 1626.83, 1596.71, 1619.60
04/07/21, 1615.61, 1635.07, 1613.32, 1621.07
